 T1 T2 T3 T4 T5 T6 T7 T8 T9 T10 T11 T12
Rand_01 0.136945139165466 0.180777852094887 0.233568490839234 0.128946823410445 0.197892755366167 0.216999463698316 0.227039715417174 0.207820877917025 0.180995482036477 0.161092848828078 0.151076225578251 0.18234311152182
Rand_02 0.180995482036477 0.161092848828078 0.227039715417174 0.151076225578251 0.216999463698316 0.197892755366167 0.207820877917025 0.128946823410445 0.18234311152182 0.136945139165466 0.233568490839234 0.180777852094887
Rand_03 0.128946823410445 0.197892755366167 0.216999463698316 0.233568490839234 0.180995482036477 0.18234311152182 0.207820877917025 0.227039715417174 0.180777852094887 0.136945139165466 0.151076225578251 0.161092848828078
Rand_04 0.227039715417174 0.216999463698316 0.180995482036477 0.136945139165466 0.161092848828078 0.18234311152182 0.151076225578251 0.128946823410445 0.207820877917025 0.197892755366167 0.233568490839234 0.180777852094887
Rand_05 0.136945139165466 0.233568490839234 0.151076225578251 0.161092848828078 0.128946823410445 0.207820877917025 0.216999463698316 0.180777852094887 0.180995482036477 0.197892755366167 0.227039715417174 0.18234311152182
Rand_06 0.216999463698316 0.180777852094887 0.233568490839234 0.197892755366167 0.151076225578251 0.136945139165466 0.18234311152182 0.161092848828078 0.207820877917025 0.180995482036477 0.227039715417174 0.128946823410445
Rand_07 0.136945139165466 0.197892755366167 0.227039715417174 0.128946823410445 0.180995482036477 0.180777852094887 0.151076225578251 0.207820877917025 0.233568490839234 0.18234311152182 0.161092848828078 0.216999463698316
Rand_08 0.207820877917025 0.136945139165466 0.161092848828078 0.180995482036477 0.233568490839234 0.128946823410445 0.227039715417174 0.151076225578251 0.18234311152182 0.216999463698316 0.197892755366167 0.180777852094887
Rand_09 0.161092848828078 0.136945139165466 0.180777852094887 0.197892755366167 0.227039715417174 0.180995482036477 0.128946823410445 0.207820877917025 0.233568490839234 0.216999463698316 0.151076225578251 0.18234311152182
Rand_010 0.136945139165466 0.180777852094887 0.227039715417174 0.197892755366167 0.207820877917025 0.18234311152182 0.161092848828078 0.128946823410445 0.151076225578251 0.233568490839234 0.180995482036477 0.216999463698316
Rand_011 0.128946823410445 0.180995482036477 0.227039715417174 0.233568490839234 0.216999463698316 0.136945139165466 0.180777852094887 0.197892755366167 0.151076225578251 0.161092848828078 0.18234311152182 0.207820877917025
Rand_012 0.180777852094887 0.18234311152182 0.128946823410445 0.151076225578251 0.227039715417174 0.216999463698316 0.136945139165466 0.180995482036477 0.207820877917025 0.233568490839234 0.161092848828078 0.197892755366167
