002020,19200110-19871002,0.75,19871003-20159999,1.0
002031,19730710-20159999,0.5,
002040,19020520-19590113,0.5,19590114-20141216,0.00,20141217-20159999,0.25
002041,19009999-19150909,0.00,19150910-19610529,0.5,19610530-19640115,0.25,19640116-19911003,0.5,19911004-20040228,.25,20040229-20159999,0.5,
002042,19009999-19160504,0.25,19160505-20159999,0.5
002051,19620806-20159999,0.5,
002052,19620831-20159999,0.5,
002053,19661130-20159999,0.5,
002054,19781103-20159999,0.5,
002055,19740207-20159999,0.5,
002056,19790222-20159999,0.5,
002057,19791027-20159999,0.5,
002058,19811101-20159999,0.5,
002060,19830919-20159999,0.5,
002070,19009999-19230923,0.0,19230924-19931231,.5,19940101-20159999,0.75,
002080,19810921-20159999,0.5,
002090,19009999-20159999,0.5,
002091,19009999-20159999,0.5,
002092,19009999-20159999,0.5,
002093,19000101-19090102,.5,19090103-19260923,0.00,19260924-19330101,-9,19330102-19470525,.5,19470526-19480530,.25,19480531-19790630,.5,19790701-19810118,-9,19810119-19880330,0.00,19880331-19910925,-9,19910926-20159999,.5
002094,19200101-20159999,0.5,
002095,19031103-19870928,.5,19870929-19891222,.25,19891223-20159999,.5
002100,19009999-20159999,0.5,
002101,19009999-20020513,0.5,20020514-20159999,0.25
002110,19660526-20159999,0.5,
002115,19751125-20159999,0.5,
002130,19009999-19520815,0.5,19520816-19821209,0.25,19821210-19851011,-9,19851012-20159999,.5
002135,19009999-19520824,0.5,19520825-20001112,0.25,20001113-20159999,0.5,
002140,19009999-20159999,0.5,
002145,19009999-20159999,0.5,
002150,19009999-20159999,0.5,
002155,19009999-20159999,0.5,
002160,19009999-20159999,0.5,
002165,19009999-20159999,0.5,
002200,19009999-19020630,.5,19020701-19031020,.25,19031021-19411206,.5,19411207-20159999,.75,
002205,19221206-20159999,0.5,
002210,19170417-20159999,0.5,
002211,19170417-20159999,0.5,
002212,19201115-20159999,0.5,
002220,19009999-20159999,0.5,
002221,19930528-20159999,0.5,
002223,19900918-20159999,0.5,
002225,19170417-20159999,0.5,
002230,19009999-20159999,0.5,
002232,19930728-20159999,0.5,
002235,19170417-20159999,0.5,
002255,19009999-19150209,.5,19150210-19210702,0.0,19210703-19391023,.5,19391024-19450507,0.0,19450508-20159999,.5
002265,19491007-19901002,.25
002290,19170417-20159999,0.5,
002300,19009999-19171206,.5,19171207-19181112,.25,
002305,19190910-20159999,0.5,
002310,19170417-20159999,0.5,
002315,19181028-19451130,0.5,19451201-19480224,-9,19480225-19891226,0.25,19891227-19921231,0.5,
002316,19930101-20159999,0.5,
002317,19930101-20159999,0.5,
002325,19009999-19411210,.5,19411211-19430903,0.0,19430904-20159999,.5
002331,19920302-20159999,0.5,
002338,19640921-20159999,0.5,
002339,19170417-20159999,0.5,
002341,20060612-20159999,0.5,
002343,19930408-20159999,0.5,
002344,19920115-20159999,0.5,
002345,19009999-19920522,0.5,19920523-20010119,0.00,20010120-20159999,0.5,
002346,19920407-20159999,0.5,
002349,19920115-20159999,0.5,
002350,19170417-20159999,0.5,
002352,19600816-20159999,0.5,
002355,19401213-19440908,0.00,19440909-19511124,-9,19511125-19891107,0.25,19891108-19911028,-9,19911029-20159999,0.5,
